,State,County Code,Latitude,Longitude
597,06,009,39.757371,-121.843286
598,06,007,37.743065,-122.169935
599,06,001,36.1797,-94.116827
600,05,145,33.220563,-92.672263
601,05,143,35.389672,-94.424288
602,05,139,34.681343,-92.328697
603,05,131,35.259775,-93.10005
604,05,119,34.583699,-94.226234
605,05,115,34.529766,-90.586049
606,05,113,35.637283,-91.188906
607,05,107,34.469441,-93.000178
608,05,067,35.105193,-92.427859
609,05,051,35.197288,-90.193141
610,05,045,33.139471,-91.939208
611,05,035,34.518515,-91.55896
612,05,003,32.690278,-114.61444
613,05,001,34.595,-112.331
614,04,027,31.337204,-110.936718
615,04,025,33.01053,-111.97205
616,04,023,32.29515,-110.9823
617,04,021,33.488131,-111.855443
618,04,019,35.206111,-111.652777
619,04,013,31.3492,-109.539683
620,04,005,35.880404,-109.438003
621,04,003,61.598898,-149.10622
622,04,001,58.388497,-134.567237
623,02,170,64.752336,-147.347208
624,02,110,61.215027,-149.903111
625,02,090,33.832885,-87.272505
626,02,020,33.189931,-87.484189
627,01,127,33.27947,-86.349438
628,01,125,33.312927,-86.821104
629,01,121,32.472136,-85.005028
630,01,117,34.530717,-86.967536
631,01,113,32.412811,-86.263394
632,01,103,30.474305,-88.141022
633,01,101,34.687761,-86.586362
634,01,097,33.459722,-87.305556
635,01,089,31.224783,-85.390789
636,01,073,33.991494,-85.992647
637,01,069,34.288567,-85.969858
638,01,055,34.762619,-87.638097
639,01,049,33.284928,-85.803608
640,01,033,30.497478,-87.880258
641,01,027,,
642,01,003,,
